"","PMID","Title","Abstract"
"22","22951378","Mechanisms of high-dose citalopram-induced death in a rat model.","Citalopram  a selective serotonin reuptake inhibitor  is generally considered to be of low toxicity. However  serotonin syndrome  seizures  electrocardiographic abnormalities as well as respiratory failure and death have been described in patients with citalopram overdose. The mechanisms of severe toxicity remain unclear. Our objective was to study the mechanisms of death following high-dose citalopram administration in Sprague Dawley rats. The median lethal dose (MLD) of intraperitoneal (i.p.) citalopram was measured using Dixon &amp; Bruce's up-and-down method at 102 mg/kg. Dose-effect relationships of citalopram-induced clinical features  alterations in arterial blood gas and plethysmography  and disturbances in blood lactate  plasma and platelet serotonin concentrations were studied. Seizures were significantly increased in rats receiving 80% and 120% of citalopram MLD versus controls (p&lt;0.05 and p&lt;0.01  respectively). A significant decrease in body temperature was observed after 90 min in rats treated with doses &gt;60% MLD in comparison to controls (p&lt;0.05). The occurrence of serotonin behavioural syndrome was comparable in all groups. Citalopram administration did not result in significant hypoxemia  hypercapnia and lactate elevation. However  a significant moderate increase in the inspiratory time (p&lt;0.05) accompanied with an expiratory braking was observed. A significant dose-related linear decrease in platelet serotonin and increase in plasma serotonin concentrations were measured (p&lt;0.05). Pre-treatments of rats receiving 120% of citalopram MLD with diazepam (1.77 mg/kg) and cyproheptadine (17.1mg/kg) prevented seizures and death  but propranolol pre-treatment was ineffective. Neuroprotection with diazepam and cyproheptadine was not associated with decreased serotonin plasma concentrations. In conclusion  citalopram-induced deaths resulted from seizures in relation to serotonin release  whilst respiratory and metabolic toxicity was mild. Our observations support the role of serotonin-induced neurotoxicity in citalopram overdose and suggest that cyproheptadine and benzodiazepines  but not beta-blockers  may have a role in the management of citalopram toxicity."
"23","22925856","Removal of trace organic chemical contaminants by a membrane bioreactor.","Emerging wastewater treatment processes such as membrane bioreactors (MBRs) have attracted a significant amount of interest internationally due to their ability to produce high quality effluent suitable for water recycling. It is therefore important that their efficiency in removing hazardous trace organic contaminants be assessed. Accordingly  this study investigated the removal of trace organic chemical contaminants through a full-scale  package MBR in New South Wales  Australia. This study was unique in the context of MBR research because it characterised the removal of 48 trace organic chemical contaminants  which included steroidal hormones  xenoestrogens  pesticides  caffeine  pharmaceuticals and personal care products (PPCPs). Results showed that the removal of most trace organic chemical contaminants through the MBR was high (above 90%). However  amitriptyline  carbamazepine  diazepam  diclofenac  fluoxetine  gemfibrozil  omeprazole  sulphamethoxazole and trimethoprim were only partially removed through the MBR with the removal efficiencies of 24-68%. These are potential indicators for assessing MBR performance as these chemicals are usually sensitive to changes in the treatment systems. The trace organic chemical contaminants detected in the MBR permeate were 1 to 6 orders of magnitude lower than guideline values reported in the Australian Guidelines for Water Recycling. The outcomes of this study enhanced our understanding of the levels and removal of trace organic contaminants by MBRs."
"24","22766765","Duodenal calcium transporter mRNA expression in stressed male rats treated with diazepam, fluoxetine, reboxetine, or venlafaxine.","Chronic stress has been reported to decrease bone density and intestinal calcium absorption  but its underlying mechanism remains elusive. Since long-term exposure to glucocorticoids  major stress hormones from adrenal gland  is known to downregulate the mRNA expression of intestinal calcium transporter TRPV6  the present study aimed to demonstrate whether decreases in mRNA expressions of duodenal calcium transporter genes were observed in male rats subjected to restraint stress for 4 weeks. The results from quantitative real-time PCR showed that restraint stress significantly downregulated the mRNA expressions of apical calcium channels (TRPV6 and Ca(v)1.3)  cytoplasmic calcium-binding protein (calbindin-D(9k))  and basolateral calcium pump (PMCA(1b))  but not the expression of TRPV5 or NCX1. The mRNA expressions of paracellular genes  ZO-1  occludin  and claudin-3  were not altered by restraint stress. Since several antidepressant or anxiolytic drugs effectively alleviate stress-induced depressive and anxiety symptoms  we further hypothesized that these drugs may also enhance calcium transporter gene expression in stressed rats. As expected  4-week daily administration of 10 mg/kg fluoxetine  10 mg/kg reboxetine  or 10 mg/kg venlafaxine differentially increased calcium transporter mRNA expression in stressed rats  whereas 2 mg/kg diazepam had no such effect. It could  therefore  be concluded that 4-week restraint stress downregulated some important calcium transporter mRNA expression in the duodenal epithelial cells of male rats  which could be prevented by oral administration of fluoxetine  reboxetine  and venlafaxine. The present findings may be applied to help alleviate the stress-induced bone loss and osteoporosis by restoring intestinal calcium absorption to provide calcium for bone formation."
"25","22641177","An affective disorder in zebrafish with mutation of the glucocorticoid receptor.","Upon binding of cortisol  the glucocorticoid receptor (GR) regulates the transcription of specific target genes  including those that encode the stress hormones corticotropin-releasing hormone (CRH) and adrenocorticotropic hormone. Dysregulation of the stress axis is a hallmark of major depression in human patients. However  it is still unclear how glucocorticoid signaling is linked to affective disorders. We identified an adult-viable zebrafish mutant in which the negative feedback on the stress response is disrupted  due to abolition of all transcriptional activity of GR. As a consequence  cortisol is elevated  but unable to signal through GR. When placed into an unfamiliar aquarium ('novel tank')  mutant fish become immobile ('freeze')  show reduced exploratory behavior and do not habituate to this stressor upon repeated exposure. Addition of the antidepressant fluoxetine to the holding water and social interactions restore normal behavior  followed by a delayed correction of cortisol levels. Fluoxetine does not affect the overall transcription of CRH  the mineralocorticoid receptor (MR)  the serotonin transporter (Serta) or GR itself. Fluoxetine  however  suppresses the stress-induced upregulation of MR and Serta in both wild-type fish and mutants. Our studies show a conserved  protective function of glucocorticoid signaling in the regulation of emotional behavior and reveal novel molecular aspects of how chronic stress impacts vertebrate brain physiology and behavior. Importantly  the zebrafish model opens up the possibility of high-throughput drug screens in search of new classes of antidepressants."
"26","22344744","Differential effects of diazepam, tandospirone, and paroxetine on plasma brain-derived neurotrophic factor level under mental stress.","OBJECTIVES: Serum brain-derived neurotrophic factor (BDNF) levels are reduced in depressed patients  and successful antidepressant treatment leads to increases in BDNF levels. However  little is known about how psychotropic drugs affect the mechanism of the human response to mental stress. We investigated the influence of psychotropic drugs on plasma BDNF levels under mental stress using a driving simulator (DS) task.METHODS: Fourteen healthy male volunteers received one of four drugs  diazepam (5<U+2009>mg)  tandospirone (20<U+2009>mg)  paroxetine (10<U+2009>mg)  and matched placebo  in a double-blind  crossover manner. Subjects were asked to perform the DS task 4<U+2009>h post-dosing. Plasma BDNF levels were measured before and after the DS task.RESULTS: Plasma BDNF levels under the placebo  diazepam  and tandospirone conditions significantly decreased after the DS task compared with before the task. Conversely  no significant differences in plasma BDNF levels were detected under the paroxetine condition.CONCLUSION: As these three psychotropic drugs have differential effects on plasma BDNF levels under mental stress after 4<U+2009>h post-dosing  antidepressants  unlike anxiolytics  might have a prompt positive effect on the mental stress response."
"27","21907645","Gas chromatography-tandem mass spectrometry assay for the quantification of four benzodiazepines and citalopram in eleven postmortem rabbit fluids and tissues, with application to animal and human samples.","Pharmacokinetic studies and postmortem toxicological investigations require a validated analytical technique to quantify drugs on a large number of matrices. Three-step liquid/liquid extraction with online derivatization (silylation) ahead of analysis by gas chromatography-tandem mass spectrometry was developed and validated on rabbit specimens in order to quantify citalopram and 4 benzodiazepines (diazepam  nordazepam  oxazepam and temazepam) in 11 biological matrices (blood  urine  bile  vitreous humor  liver  kidney  skeletal muscle  brain  adipose tissue  bone marrow (BM) and lung). Since the 11 biological matrices came from the same animal species  full validation was performed on 1 matrix  bone marrow (considered the most complex)  while the other 10 underwent partial validation. Due to non-negligible matrix effects  calibration curves were performed on each matrix. Within-day and between-day precision (less than 12.0% and 12.6%  respectively) and accuracy (from 88.9% to 106.4%) were acceptable on BM at both low and high concentrations. Assessment on the other matrices confirmed accuracy and within-day precision (less than 12%  and generally between 85.1% and 114.5%  respectively). The lower limit of quantification of the method was 1ng/g for nordazepam  5ng/g for citalopram and 10ng/g for oxazepam  diazepam and temazepam. The combination of 3-step extraction and MS/MS detection provided good selectivity in all matrices  including the most lipid-rich. Application to real-case samples showed that the method was sensitive enough to describe distribution patterns in an animal experiment  and specific enough to detect molecules in highly putrefied samples from human postmortem cases."
"28","21835188","Magnesium deficiency induces anxiety and HPA axis dysregulation: modulation by therapeutic drug treatment.","Preclinical and some clinical studies suggest a relationship between perturbation in magnesium (Mg(2+)) homeostasis and pathological anxiety  although the underlying mechanisms remain largely unknown. Since there is evidence that Mg(2+) modulates the hypothalamic-pituitary adrenal (HPA) axis  we tested whether enhanced anxiety-like behaviour can be reliably elicited by dietary Mg(2+) deficiency and whether Mg(2+) deficiency is associated with altered HPA axis function. Compared with controls  Mg(2+) deficient mice did indeed display enhanced anxiety-related behaviour in a battery of established anxiety tests. The enhanced anxiety-related behaviour of Mg(2+) deficient mice was sensitive to chronic desipramine treatment in the hyponeophagia test and to acute diazepam treatment in the open arm exposure test. Mg(2+) deficiency caused an increase in the transcription of the corticotropin releasing hormone in the paraventricular hypothalamic nucleus (PVN)  and elevated ACTH plasma levels  pointing to an enhanced set-point of the HPA axis. Chronic treatment with desipramine reversed the identified abnormalities of the stress axis. Functional mapping of neuronal activity using c-Fos revealed hyper-excitability in the PVN of anxious Mg(2+) deficient mice and its normalisation through diazepam treatment. Overall  the present findings demonstrate the robustness and validity of the Mg(2+) deficiency model as a mouse model of enhanced anxiety  showing sensitivity to treatment with anxiolytics and antidepressants. It is further suggested that dysregulations in the HPA axis may contribute to the hyper-emotionality in response to dietary induced hypomagnesaemia. This article is part of a Special Issue entitled 'Anxiety and Depression'."
"29","21820452","Susceptibility to the long-term anxiogenic effects of an acute stressor is mediated by the activation of the glucocorticoid receptors.","The specificity of the response of an organism is an important variable influencing stress-related parameters and psychopathological states. We have shown that trait anxiety in C57BL/6 mice  determined by their emergence latencies in the free choice open field test  positively correlates with the long-term behavioral and neuroendocrinological changes induced by a stressor. Here  we show that this interindividual variability is caused by a different reactivity of the hypothalamus-pituitary-adrenal (HPA) axis upon exposure to a stressor. Mice with high trait anxiety (long emergence latency  LEL) display a more pronounced stress-induced activation of the HPA axis than mice with low trait anxiety (short emergence latency  SEL). Moreover  stress-induced activation of tyrosine hydroxylase and corticotropin-releasing hormone occurred in LEL but not SEL mice. In search of the molecular mechanisms underlying these differences  we found that under non-stressed conditions mRNA and protein levels of the glucocorticoid receptor in the hippocampus were higher in LEL mice compared to SEL mice. Also  systemic injection of the glucocorticoid receptor antagonist RU486 decreased the stress-induced activation of the HPA axis and the long-term anxiogenic effects of stress observed in LEL mice. Finally  the rewarding properties of cocaine were enhanced in LEL mice compared to SEL mice  suggesting a causal link between trait anxiety  stress activity and the behavioral responses to drugs of addiction."
"30","21397628","Acute anxiogenic-like effects of selective serotonin reuptake inhibitors are attenuated by the benzodiazepine diazepam in BALB/c mice.","Selective serotonin re-uptake inhibitors (SSRIs)  which are used commonly to treat anxiety disorders  have characteristic anxiogenic effects following acute administration. Treatment with anxiolytic benzodiazepines (BZs) may reduce these effects  although little is known about potential drug interactions. Our study evaluated acute anxiogenic-like effects of SSRIs  alone and combined with a BZ. Adult male BALB/c mice received fluoxetine (3.0-30.0mg/kg  i.p.) or citalopram (3.0-30.0mg/kg  i.p.) alone or in combination with diazepam (0.3-10.0mg/kg  i.p.)  after which they were evaluated with the light/dark and open-field tests for anxiogenesis/anxiolysis. In addition  release of the stress hormone corticosterone was assessed following combined SSRI/BZ administration. In the light/dark and open-field tests  acute SSRIs produced a behavioral profile consistent with anxiogenesis  while diazepam produced an anxiolytic-like profile. Pre-treatment with diazepam (0.3-10mg/kg) reversed the effects of an anxiogenic-like dose of an SSRI (18mg/kg fluoxetine  30mg/kg citalopram) in both light/dark and open-field tests. Diazepam  fluoxetine or citalopram  and their combination all significantly increased plasma corticosterone levels to the same degree. These findings suggest that a BZ-type drug can attenuate acute anxiogenic-like effects of an SSRI via a mechanism independent of corticosterone regulation."
"31","21333660","Characterization of 5-HT(1A/1B)-/- mice: an animal model sensitive to anxiolytic treatments.","Selective serotonin (5-HT) re-uptake inhibitors (SSRIs) are commonly used in the treatment of generalized anxiety disorder in Humans. However  because only few animal models display overt anxious-like behavior  detailed preclinical studies of the anxiolytic properties of antidepressants are still lacking. Here  we studied the neurochemical and behavioral effects of a double 5-HT(1A/1B) receptor knockout in mice (5-HT(1A/1B)-/-) as compared to their wild-type littermates (5-HT(1A/1B)+/+). It is known that single deletion of either 5-HT(1A) or 5-HT(1B) receptor induces behavioral changes that are not correlated with differences in brain serotonergic tone. Deletion of both receptors resulted in (i) higher emotionality of animals  as observed in three unconditioned paradigms of anxiety (open field  elevated plus maze and novelty suppressed feeding tests); (ii) a ˜200% increase in the mean spontaneous firing rate of 5-HT neurons in the dorsal raphe nucleus (DRN) compared to 5-HT(1A/1B)+/+ mice; (iii) elevated basal dialysate levels of 5-HT in the DRN and frontal cortex; (iv) an exaggerated response to acute paroxetine administration in microdialysis experiments  and (v) increased basal core body temperature. These findings suggest that the deletion of both autoreceptors induces a strong anxious-like behavioral state associated with increased 5-HT neurotransmission. Interestingly  5-HT(1A/1B)-/- mice are still sensitive to the acute administration of diazepam. Moreover  while deletion of both receptors impacted on the response to acute SSRI treatment in the forced swim test  anxiolytic-like effects of a chronic SSRI treatment were still observed in 5-HT(1A/1B)-/- mice. Thus  the 5-HT(1A/1B)-/- mouse model could be of great interest to unveil the mechanisms of action of the anxiolytic effects of SSRIs."
"32","20678516","Pharmacological evaluation of a novel assay for detecting glycine transporter 1 inhibitors and their antipsychotic potential.","Multiple lines of evidence support the notion that hypofunction of glutamatergic neurotransmission is involved in the pathophysiology of schizophrenia. Moreover  glycine and glycine modulators have beneficial effects in patients with schizophrenia  particularly when added on to existing therapy. As glycine is an obligatory co-agonist at the NR1 subunit of the NMDA receptor  blockade of glycine uptake at the glycine transporter type-1 (GlyT1) can enhance low glutamatergic tone. L-687 414 is an antagonist at the glycine modulatory site of the NMDA complex and  behaviorally  increases locomotion. A series of GlyT1 inhibitors along with other psychoactive compounds were examined for their ability to enhance or inhibit the action of L-687 414. GlyT1 inhibitors and the other compounds were examined initially for effects on [(3)H]-glycine uptake in CHO cells expressing hGlyT1b cDNA and for their ability to displace the NMDA-glycine site ligand [(3)H]-L-689 560 from isolated rat forebrain membrane preparations. The in vivo activity of these compounds was determined in mice by measuring their ability to prevent L-687 414-induced hyperlocomotion. GlyT1 inhibitors blocked [(3)H]-glycine uptake in cells expressing the human transporter; other compounds had little or no activity. None of the compounds had affinity for the glycine site of the NMDA receptor complex. Hyperlocomotion induced by L-687 414 was dose-dependently reduced by GlyT1 inhibitors and antipsychotic drugs but not by morphine  fluoxetine or a moderate dose of diazepam. Therefore  this behavioral approach can reliably detect GlyT1 inhibitors which  in turn  may have some activity in common with drugs having antipsychotic effects."
"33","20160205","Psychopharmacological neuroprotection in neurodegenerative disease: assessing the preclinical data.","This manuscript reviews the preclinical in vitro  ex vivo  and nonhuman in vivo effects of psychopharmacological agents in clinical use on cell physiology with a view toward identifying agents with neuroprotective properties in neurodegenerative disease. These agents are routinely used in the symptomatic treatment of neurodegenerative disease. Each agent is reviewed in terms of its effects on pathogenic proteins  proteasomal function  mitochondrial viability  mitochondrial function and metabolism  mitochondrial permeability transition pore development  cellular viability  and apoptosis. Effects on the metabolism of the neurodegenerative disease pathogenic proteins alpha-synuclein  beta-amyloid  and tau  including tau phosphorylation  are particularly addressed  with application to Alzheimer's and Parkinson's diseases. Limitations of the current data are detailed and predictive criteria for translational clinical neuroprotection are proposed and discussed. Drugs that warrant further study for neuroprotection in neurodegenerative disease include pramipexole  thioridazine  risperidone  olanzapine  quetiapine  lithium  valproate  desipramine  maprotiline  fluoxetine  buspirone  clonazepam  diphenhydramine  and melatonin. Those with multiple neuroprotective mechanisms include pramipexole  thioridazine  olanzapine  quetiapine  lithium  valproate  desipramine  maprotiline  clonazepam  and melatonin. Those best viewed circumspectly in neurodegenerative disease until clinical disease course outcomes data become available  include several antipsychotics  lithium  oxcarbazepine  valproate  several tricyclic antidepressants  certain SSRIs  diazepam  and possibly diphenhydramine. A search for clinical studies of neuroprotection revealed only a single study demonstrating putatively positive results for ropinirole. An agenda for research on potentially neuroprotective agent is provided."
"34","19251245","Co-treatment with diazepam prevents the effects of fluoxetine on the proliferation and survival of hippocampal dentate granule cells.","BACKGROUND: Selective serotonin reuptake inhibitors (SSRI) often produce increased anxiety during the first weeks of treatment before the clinical antidepressant response  and these symptoms are commonly treated with benzodiazepines. Selective serotonin reuptake inhibitors increase proliferation of neuronal progenitors in rodent hippocampus after a delay of approximately 2 weeks.METHODS: We have used this delayed increase in neurogenesis  as detected with both a rapid dot-blot method and with immunostaining  as a model of the delayed clinical antidepressant effects.RESULTS: Whereas the SSRI fluoxetine alone significantly increased both neurogenesis and survival of newborn cells when administered for 2-3 weeks  co-treatment with diazepam and fluoxetine completely blocked the increase in both neurogenesis and survival. Furthermore  neurogenesis was not increased when fluoxetine and diazepam were first co-administered for 2 weeks and then fluoxetine was given alone for 2 additional weeks. Moreover  we show that daily administration is necessary for neurogenesis  because injection of fluoxetine for up to 1 week failed to increase neurogenesis  when assayed at 14 days from the first injection.CONCLUSIONS: These results suggest that benzodiazepines might interfere with the clinical effects of fluoxetine or that increased neurogenesis is not a valid model for the delayed onset of the clinical antidepressant effects."
"35","19137905","Bioequivalence of two commercial preparations of escitalopram oxalate/clonazepam using a liquid chromatography-electrospray mass spectrometry method.","OBJECTIVE: A randomized  two-way crossover study was conducted in 24 fasting healthy male volunteers of Indian origin to compare the bioavailability of two brands of a fixed dose combination of escitalopram oxalate (CAS 219861-08-2) 10 mg and clonazepam (CAS 1622-61-3) 0.5 mg tablets  using Estomine-zee as test and a commercially available formulation as the reference product. The pharmacokinetics of escitalopram oxalate and clonazepam individually after oral administration of tablet formulation has been extensively evaluated in adult volunteers. However  no published data are available regarding the pharmacokinetics and bioavailability of this particular fixed dose combination.METHOD: The trial was designed as a randomized  balanced  open-label  2-period cross-over study. The drug was administered with 240 ml of water after a 10-h overnight fasting on two treatment days separated by a 21-day washout period. After dosing  serial blood samples were collected for a period of 96 h. Plasma harvested from blood was analyzed by simple rapid  selective and validated liquid chromatography-electrospray mass spectrometry (LC-ESI-MS/ MS) using diazepam (CAS 439-14-5) as an internal standard.RESULTS: The calibration curves were found to be linear in the range of 1-25 ng/ml and 1-10 ng/ml for escitalopram oxalate and clonazepam  respectively  with a mean correlation coefficient of more than 0.99. No statistically significant differences were obtained between the two products with respect to the mean concentration-time profiles or in the pharmacokinetic parameters  including the area under the serum concentration-time curve from the present study.CONCLUSION: Based on the statistical inferences  it was concluded that the test product is bioequivalent to the reference product. Both preparations were well tolerated with no adverse reactions throughout the study."
"36","19028834","Prevalence of trait anxiety in a sample of depressed inpatients and its influence on response to antidepressants.","Depression and anxiety frequently occur together or in extension of each other. According to a previous study in depressed inpatients  a high trait anxiety level correlated with a positive response to the diazepam test (DT) and a low trait anxiety level with a negative response to the test. The aim of this study is to investigate whether positive reaction to the DT is related to a positive response to fluvoxamine and whether a negative reaction to the test is related to positive response to imipramine. The DT was performed in 130 patients diagnosed with a depressive disorder. Following the DT  the patients were randomly assigned to double-blind treatment with either imipramine or fluvoxamine. Doses of both antidepressants were adjusted to attain predefined blood levels  and the outcome was evaluated 4 weeks after attaining these blood levels. Twenty-two patients had a positive response to the DT  whereas 108 patients had a negative response. Although a positive DT is correlated with a high level of trait anxiety  no differences in depressive symptomatology and antidepressant response were found between patients with a positive and a negative DT."
"37","19007512","Comparison of drug concentrations taken from clamped and unclamped femoral vessels.","Postmortem drug concentrations may vary depending on sampling site  volume of blood collected  and method of sampling  making it important to analyze specimens from different sites in the body to detect postmortem redistribution and avoid erroneous conclusions on cause and manner of death. Using a blind stick method to draw large amounts of blood from the femoral vessel may increase the likelihood of contamination with blood from more central sites. It has been suggested that clamping the femoral vessel before drawing the sample may eliminate possible contribution from central sites. Eight drugs from four different drug classes were evaluated to determine the difference between drug concentrations in clamped and blind stick femoral blood. Drug concentrations of three selective serotonin reuptake inhibitors  or SSRIs (sertraline  paroxetine  citalopram)  two benzodiazepines (diazepam and alprazolam)  two antihistamines (diphenhydramine and promethazine)  and one opiate (hydrocodone) were evaluated in clamped femoral blood  blind stick femoral blood  and heart blood and compared using concentration ratios and linear regression analysis. Clamped femoral blood concentrations and blind stick femoral blood concentrations were found to have good predictability across all drug classes with ratios around 1.0  indicating good correlation between blind stick femoral and clamped femoral samples. Therefore  it can be concluded that a blind stick femoral blood sample does not have significant redistribution from central sites and is of equivalent quality to a clamped femoral sample."
"38","18586210","Fatal intoxication with milnacipran.","The antidepressant milnacipran is a double serotonin/noradrenalin reuptake inhibitor. The low reported incidence of intoxication indicates excellent tolerance in comparison with tricyclic and second generation antidepressants. We report a fatal intoxication associating milnacipran  at blood levels (femoral=21.5 mg/l  cardiac=20 mg/l) 40-fold higher than the usual treatment concentration  and six other molecules (fluoxetine  norfluoxetine  sertraline  cyamemazine  nordazepam and oxazepam) at therapeutic levels. To the best of our knowledge  this is the first reported fatal intoxication involving milnacipran."
"39","18548231","Subnanomolar dopamine D3 receptor antagonism coupled to moderate D2 affinity results in favourable antipsychotic-like activity in rodent models: II. behavioural characterisation of RG-15.","RG-15 (trans-N-[4-[2-[4-(3-cyano-5-trifluoromethyl -phenyl) -piperazine -1 -yl] -ethyl] -cyclohexyl] -3 -pyridinesulfonic amide dihydro-chloride)  is a highly selective dopamine D3/D2 receptor antagonist with subnanomolar affinity for the D3 receptor and nanomolar affinity for the D2 receptor. We found that RG-15 showed a good oral bioavailability (54%) and high brain levels (approx. 900 ng/g) in rats and demonstrated antipsychotic efficacy in amphetamine-induced hyperactivity and conditioned avoidance response tests in rats  yielding ED50 (median effective dose) values of 8.6 and 12 mg/kg orally  respectively. At six- to eightfold higher doses  RG-15 blocked spontaneous motor activity  while a 30 mg/kg dose of the compound caused an increase in the home-cage motility of rats. The drug did not produce catalepsy up to 160 mg/kg oral dose; moreover  it inhibited haloperidol-induced catalepsy in the range 15-60 mg/kg. RG-15 (10 mg/kg orally) restored the impaired learning performance of scopolamine- or diazepam-treated rats in a water-labyrinth paradigm. It is assumed that the motor activating  anticataleptic and cognitive-enhancing properties of RG-15 result from its potent D3 antagonism. In this regard  RG 15 clearly differs from other antipsychotics. Olanzapine  clozapine and amisulpride all showed efficacy against amphetamine-induced hyperactivity and on conditioned avoidance  but compared to RG-15  they proved to be more cataleptogenic and depressed or did not change the home-cage activity of animals. Olanzapine was also inactive in the learning paradigm. Our results suggest that subnanomolar dopamine D3 receptor antagonism coupled to moderate D2 affinity may result in an antipsychotic profile characterised by a lack of extrapyramidal side effects and secondary negative symptoms with simultaneous efficacy on positive and cognitive symptoms of schizophrenia."
"40","18420937","The antidepressant fluoxetine restores plasticity in the adult visual cortex.","We investigated whether fluoxetine  a widely prescribed medication for treatment of depression  restores neuronal plasticity in the adult visual system of the rat. We found that chronic administration of fluoxetine reinstates ocular dominance plasticity in adulthood and promotes the recovery of visual functions in adult amblyopic animals  as tested electrophysiologically and behaviorally. These effects were accompanied by reduced intracortical inhibition and increased expression of brain-derived neurotrophic factor in the visual cortex. Cortical administration of diazepam prevented the effects induced by fluoxetine  indicating that the reduction of intracortical inhibition promotes visual cortical plasticity in the adult. Our results suggest a potential clinical application for fluoxetine in amblyopia as well as new mechanisms for the therapeutic effects of antidepressants and for the pathophysiology of mood disorders."
"41","17944902","Fatalities associated with fentanyl and co-administered cocaine or opiates.","Fatalities associated with fentanyl hydrochloride are increasingly seen in Massachusetts. Between September 2005 and November 2006  5009 medicolegal investigations associated 107 deaths with licit or illicit fentanyl use  along with a co-detection of an opiate/opioid or cocaine/benzoylecognine  or both. Deaths associated with illicit fentanyl use occur in younger people (39.4 vs. 61.5 years) with higher fentanyl (17.1 ng/mL vs. 4.4 ng/mL) and lower morphine (76.9 ng/mL vs. 284.2 ng/mL) postmortem blood concentrations  and more frequent cocaine co-intoxication (65% vs. 3%)  than deaths associated with illicit fentanyl use. A wide range of postmortem blood concentrations of fentanyl was detected (trace-280 ng/mL)  with a minimum concentration of 7 ng/mL of fentanyl strongly associated with illicit use of fentanyl in poly-drug cases. The most commonly detected opiates/opioids in illicit fentanyl users were: morphine (29%)  oxycodone (14.5%)  and methadone (14.5%). Ethanol  cannabinoids  diazepam  citalopram  and diphenhydramine were each detected in greater than 10% of the licit fentanyl cases. Most fentanyl abusers died at their own home and their deaths were most often classified as accidental. Mapping of primary residences of decedents revealed conspicuous clustering of the illicit fentanyl use cases  as opposed to the random pattern in licit use cases. Fentanyl misuse is a public health problem in Massachusetts."
"42","17928040","Duration of ultrasonic vocalizations in the isolated rat pup as a behavioral measure: sensitivity to anxiolytic and antidepressant drugs.","Neo-natal rats emit ultrasonic vocalizations (USVs) when isolated from their mothers and littermates. Clinically effective anxiolytics reliably reduce USVs  making this behavior a useful animal model of the anxiolytic potential of novel pharmacological approaches to the treatment of anxiety. Here  we assess the hypothesis that USV duration (total time spent vocalizing) is a more sensitive measure of anxiolytic and antidepressant efficacy than USV number by testing established and putative anxiolytics in this model. Negative geotaxis and righting reflex latency were measured to assess sedating properties. The benzodiazepines  CDP (1-10 mg/kg) and diazepam (0.3-3 mg/kg)  the 5HT(1A) partial agonist  buspirone (0.3-3 mg/kg)  and the mGluR5 antagonist  MTEP (1-30 mg/kg)  reduced USV duration at lower doses and to a greater magnitude than USV number. The benzodiazepines  unlike buspirone and MTEP  produced measurable sedation  but it was dissociable from reductions in USV duration. The SSRI antidepressants  fluoxetine (1-30 mg/kg) and citalopram (0.3-30 mg/kg)  reduced USV duration more than number with no measurable effect on sedation. The tricyclic antidepressants  imipramine (1-10 mg/kg) and amitriptyline (1-30 mg/kg)  had no effect dissociable from sedation. These data support USV duration as a more sensitive and useful measure than USV number in the isolated rat pup model."
"43","17848146","Comparison of trazodone, diazepame and dibenzepine influences on rat brain beta-endorphins content.","The aim of our study was to establish the extent of influence of different psychotropic drugs to brain Beta-endorphins in experimental animals. The study was performed on albino Wistar rats (weight 250 g)  treated with different psychoactive drugs. RIA technique was employed for quantification of brain beta-endorphins. Brain beta-endorphins were higher in experiment group treated with trazodone (929 pg/g +/- 44 43; X+/-SD)  and dibenzepine (906 63 pg/g +/- 74 06)  yet with lower brain content in rats treated with diazepam (841 55 pg/g +/- 68 47)  compared to brain beta-endorphins content of control group treated with saline solution (0 95% NaCl) (873 5 pg/g +/- 44 89). Significant differences were obtained comparing brain beta-endorphins of trazodone vs. diazepam treated animals  with diazepam group having lower values (p&lt;0 02). This study showed differences in changes of rat brain beta-endorphins contents when different psychoactive drugs are used. Therefore  we consider that beta-endorphins could be used for evaluation of effects of psychoactive drugs  as a useful parameter in therapy with these psycho-pharmaceuticals."
"44","17092685","[Treatment of hydroxychloroquine poisoning with extracorporeal circulation].","We report a case of massive overdose of hydroxychloroquine treated with circulatory assistance by peripheral extracorporeal circulation (ECC). We expose the case of a 39-year-old woman who ingested 12 g of hydroxychloroquine with bromazepam  paroxetine  and zolpidem  in a suicide attempt. Patient has developed central nervous system depression  hemodynamic failure  life-threatening ventricular arrhythmias  and serious hypokalemia. Initially the patient has received conventional treatment with gastric lavage and activated charcoal for gastrointestinal decontamination  blood volume expansion and vasopressive drugs  intubation and mechanical ventilation  high dose of diazepam  and potassium replacement. A ventricular fibrillation was treated with external cardiac massage. In spite of this treatment  cardiogenic shock was uncontrolled  and imposed circulatory assistance. After extracorporeal circulation  we observed a spectacular improvement of hemodynamic parameters and electrocardiographic normalization at day one. Extracorporeal circulation could be used as a rescue treatment of cardiotrope and hydroxychloroquine overdoses."
"45","16891063","No evidence for interactions between oral anticoagulants and sertraline.",""
